x,y
38.99780984719863,-5.4458217270194975
39.007741935483864,-5.4403621169916425
39.013039049235985,-5.435487465181058
39.02032258064516,-5.429832869080779
39.025840407470284,-5.425933147632311
39.03356536502546,-5.42183844011142
39.038200339558564,-5.417743732590528
39.04592529711375,-5.415013927576601
39.05210526315789,-5.415013927576601
39.06181663837011,-5.415013927576601
39.106400679117144,-5.480724233983286
39.09382003395585,-5.478969359331475
39.08322580645161,-5.478189415041782
39.072190152801355,-5.474874651810584
39.06005093378607,-5.469999999999999
39.04967741935483,-5.466490250696378
39.038200339558564,-5.463565459610027
39.028930390492356,-5.4594707520891355
39.01701188455008,-5.455376044568244
39.00465195246179,-5.450891364902506
39.003989813242775,-5.452451253481893
39.0050933786078,-5.46259052924791
39.0048726655348,-5.471559888579386
39.003989813242775,-5.479164345403898
39.003989813242775,-5.489498607242338
39.00310696095076,-5.498662952646239
39.00222410865874,-5.507242339832867
39.001782682512726,-5.51426183844011
38.99979626485568,-5.522256267409469
38.996485568760605,-5.531030640668522
