x,y,site
38.99780984719863,-5.4458217270194975,Pemba
39.007741935483864,-5.4403621169916425,Pemba
39.013039049235985,-5.435487465181058,Pemba
39.02032258064516,-5.429832869080779,Pemba
39.025840407470284,-5.425933147632311,Pemba
39.03356536502546,-5.42183844011142,Pemba
39.038200339558564,-5.417743732590528,Pemba
39.04592529711375,-5.415013927576601,Pemba
39.05210526315789,-5.415013927576601,Pemba
39.06181663837011,-5.415013927576601,Pemba
39.106400679117144,-5.480724233983286,Pemba
39.09382003395585,-5.478969359331475,Pemba
39.08322580645161,-5.478189415041782,Pemba
39.072190152801355,-5.474874651810584,Pemba
39.06005093378607,-5.469999999999999,Pemba
39.04967741935483,-5.466490250696378,Pemba
39.038200339558564,-5.463565459610027,Pemba
39.028930390492356,-5.4594707520891355,Pemba
39.01701188455008,-5.455376044568244,Pemba
39.00465195246179,-5.450891364902506,Pemba
39.003989813242775,-5.452451253481893,Pemba
39.0050933786078,-5.46259052924791,Pemba
39.0048726655348,-5.471559888579386,Pemba
39.003989813242775,-5.479164345403898,Pemba
39.003989813242775,-5.489498607242338,Pemba
39.00310696095076,-5.498662952646239,Pemba
39.00222410865874,-5.507242339832867,Pemba
39.001782682512726,-5.51426183844011,Pemba
38.99979626485568,-5.522256267409469,Pemba
38.996485568760605,-5.531030640668522,Pemba
39.11328173374612,-6.096202531645569,Unguja
39.11972136222909,-6.098915009041591,Unguja
39.134613003095964,-6.103254972875226,Unguja
39.142461300309584,-6.106148282097649,Unguja
39.15674922600618,-6.109584086799277,Unguja
39.169024767801844,-6.113381555153707,Unguja
39.179489164086675,-6.1148282097649185,Unguja
39.18914860681113,-6.118987341772152,Unguja
39.20021671826624,-6.124593128390597,Unguja
39.20886996904024,-6.133092224231465,Unguja
39.18753869969039,-6.157142857142857,Unguja
39.18210526315788,-6.1558770343580465,Unguja
39.1730495356037,-6.1542495479204335,Unguja
39.163993808049526,-6.151717902350813,Unguja
39.153328173374604,-6.15117540687161,Unguja
39.14668730650153,-6.14882459312839,Unguja
39.134613003095964,-6.144303797468354,Unguja
39.12616099071206,-6.14249547920434,Unguja
39.115092879256956,-6.139059674502712,Unguja
39.104226006191936,-6.136889692585895,Unguja
39.20122291021671,-6.1996383363471965,Unguja
39.1957894736842,-6.199819168173598,Unguja
39.18230650154798,-6.200723327305606,Unguja
39.16862229102166,-6.1981916817359854,Unguja
39.1561455108359,-6.194213381555153,Unguja
39.13944272445819,-6.187703435804702,Unguja
39.13018575851392,-6.1835443037974684,Unguja
39.11690402476779,-6.178842676311031,Unguja
39.10603715170277,-6.178481012658228,Unguja
39.09738390092878,-6.1792043399638334,Unguja
